source_otu	target_otu	target
otu308757	otu282540	otu168693
otu308757	otu282540	otu22981
otu308757	otu282540	otu17070
otu280657	otu285351	otu324167
otu317458	otu308757	otu282540
otu263295	otu103748	otu312360
otu280657	otu312360	otu265125
otu264772	otu54454	otu312360
otu241002	otu103748	otu312360
otu280657	otu188738	otu66141
otu234399	otu103748	otu312360
otu121514	otu222127	otu280657
otu308757	otu120851	otu282540
otu188738	otu312360	otu317458
otu263295	otu103748	otu280657
otu308757	otu282540	otu35825
otu60355	otu234279	otu149387
otu264772	otu54454	otu280657
otu241002	otu103748	otu280657
otu317458	otu282540	otu308757
